Форманты для звука 'А' (файл aaa.wav):
============================================================
Время (с) | Формант 1 (Гц) | Формант 2 (Гц) | Формант 3 (Гц)
------------------------------------------------------------
0.00 | N/A | N/A | N/A
0.09 | N/A | N/A | N/A
0.19 | 129.20 | 1162.79 | 366.06
0.28 | 1571.92 | 452.20 | 1205.86
0.37 | 193.80 | 1055.13 | 1184.33
0.46 | 64.60 | 1356.59 | 193.80
0.56 | 86.13 | 1162.79 | 301.46
0.65 | 107.67 | 516.80 | 839.79
0.74 | 86.13 | 193.80 | 473.73
0.84 | 86.13 | 193.80 | 473.73
0.93 | 107.67 | 193.80 | 495.26
1.02 | 107.67 | 215.33 | 516.80
1.11 | 107.67 | 193.80 | 495.26
1.21 | 107.67 | 495.26 | 301.46
1.30 | 107.67 | 193.80 | 516.80
1.39 | 107.67 | 215.33 | 516.80
1.49 | 107.67 | 215.33 | 516.80
1.58 | 538.33 | 107.67 | 215.33
1.67 | 215.33 | 107.67 | 516.80
1.76 | 107.67 | 538.33 | 215.33
1.86 | 107.67 | 538.33 | 215.33
1.95 | 107.67 | 559.86 | 430.66
2.04 | 107.67 | 559.86 | 215.33
2.14 | 107.67 | 559.86 | 452.20
2.23 | 107.67 | 559.86 | 667.53
2.32 | 559.86 | 107.67 | 667.53
2.41 | 559.86 | 107.67 | 667.53
2.51 | 107.67 | 581.40 | 689.06
2.60 | 559.86 | 107.67 | 452.20
2.69 | 559.86 | 107.67 | 452.20
2.79 | 559.86 | 107.67 | 689.06
2.88 | 559.86 | 107.67 | 689.06
2.97 | 559.86 | 107.67 | 689.06
3.07 | 581.40 | 107.67 | 689.06
3.16 | 581.40 | 107.67 | 689.06
3.25 | 581.40 | 107.67 | 689.06
3.34 | 581.40 | 107.67 | 710.60
3.44 | 581.40 | 107.67 | 710.60
3.53 | 107.67 | 581.40 | 1055.13
3.62 | 107.67 | 602.93 | 1055.13
3.72 | 107.67 | 602.93 | 710.60
3.81 | 602.93 | 129.20 | 1076.66
3.90 | 602.93 | 129.20 | 1076.66
3.99 | 602.93 | 129.20 | 1076.66
4.09 | 602.93 | 129.20 | 1076.66
4.18 | 602.93 | 129.20 | 495.26
4.27 | 602.93 | 129.20 | 495.26
4.37 | 495.26 | 624.46 | 129.20
4.46 | 624.46 | 495.26 | 129.20
4.55 | 624.46 | 495.26 | 129.20
4.64 | 624.46 | 495.26 | 129.20
4.74 | 624.46 | 495.26 | 129.20
4.83 | 129.20 | 624.46 | 495.26
4.92 | 516.80 | 129.20 | 646.00
5.02 | 129.20 | 646.00 | 516.80
5.11 | 129.20 | 516.80 | 646.00
5.20 | 129.20 | 646.00 | 516.80
5.29 | 646.00 | 129.20 | 516.80
5.39 | 538.33 | 667.53 | 129.20
5.48 | 538.33 | 667.53 | 1205.86
5.57 | 538.33 | 1227.39 | 129.20
5.67 | 538.33 | 129.20 | 667.53
5.76 | 538.33 | 1227.39 | 129.20
5.85 | 538.33 | 1227.39 | 129.20
5.94 | 538.33 | 129.20 | 667.53
6.04 | 538.33 | 129.20 | 1227.39
6.13 | 559.86 | 129.20 | 689.06
6.22 | 559.86 | 150.73 | 710.60
6.32 | 581.40 | 150.73 | 279.93
6.41 | 602.93 | 150.73 | 452.20
6.50 | 624.46 | 150.73 | 473.73
6.59 | 150.73 | 473.73 | 646.00
6.69 | 495.26 | 646.00 | 172.27
6.78 | 172.27 | 516.80 | 344.53
6.87 | 495.26 | 172.27 | 667.53
6.97 | 516.80 | 172.27 | 344.53
7.06 | 516.80 | 172.27 | 344.53
7.15 | 495.26 | 667.53 | 172.27
7.24 | 172.27 | 516.80 | 344.53
7.34 | 689.06 | 172.27 | 516.80
7.43 | 689.06 | 1205.86 | 172.27
7.52 | 689.06 | 1227.39 | 172.27
7.62 | 1227.39 | 689.06 | 172.27
7.71 | 1248.93 | 538.33 | 172.27
7.80 | 710.60 | 172.27 | 1055.13
7.89 | 538.33 | 1248.93 | 710.60
7.99 | 538.33 | 1270.46 | 904.39
8.08 | 538.33 | 1270.46 | 732.13
8.17 | 559.86 | 732.13 | 193.80
8.27 | 581.40 | 193.80 | 387.60
8.36 | 581.40 | 193.80 | 775.20
8.45 | 215.33 | 646.00 | 861.33
8.54 | 258.40 | 495.26 | 753.66
8.64 | 279.93 | 559.86 | 839.79
8.73 | 301.46 | 581.40 | 882.86
8.82 | 301.46 | 602.93 | 1205.86
8.92 | 301.46 | 624.46 | 1248.93
9.01 | 667.53 | 323.00 | 990.53
9.10 | 667.53 | 344.53 | 1012.06
9.20 | 667.53 | 323.00 | 990.53
9.29 | 689.06 | 344.53 | 1012.06
9.38 | 689.06 | 344.53 | 1055.13
9.47 | 689.06 | 344.53 | 1055.13
9.57 | 732.13 | 366.06 | 1098.19
9.66 | 732.13 | 366.06 | 1098.19
9.75 | 710.60 | 366.06 | 1076.66
9.85 | 732.13 | 366.06 | 1098.19
9.94 | 732.13 | 366.06 | 1098.19
10.03 | 753.66 | 366.06 | 1119.73
10.12 | 775.20 | 387.60 | 1162.79
10.22 | 775.20 | 387.60 | 1162.79
10.31 | 796.73 | 387.60 | 1184.33
10.40 | 818.26 | 1227.39 | 409.13
10.50 | 839.79 | 430.66 | 1270.46
10.59 | 861.33 | 430.66 | 1291.99
10.68 | 904.39 | 452.20 | 1356.59
10.77 | 925.93 | 452.20 | 1378.12
10.87 | 947.46 | 473.73 | 1421.19
10.96 | 968.99 | 473.73 | 1442.72
11.05 | 495.26 | 968.99 | 172.27
11.15 | 495.26 | 150.73 | 1335.06
11.24 | 968.99 | 473.73 | 1442.72
11.33 | 495.26 | 968.99 | 1464.26
11.42 | 968.99 | 473.73 | 1442.72
11.52 | 947.46 | 473.73 | 1421.19
11.61 | 968.99 | 495.26 | 1442.72
11.70 | 968.99 | 473.73 | 1421.19
11.80 | 473.73 | 172.27 | 968.99
11.89 | 1356.59 | 4414.31 | 7472.02
11.98 | 172.27 | 409.13 | 107.67
12.07 | 150.73 | 64.60 | 258.40
12.17 | 150.73 | 387.60 | 86.13
12.26 | 150.73 | 279.93 | 387.60
12.35 | 150.73 | 215.33 | 301.46
12.45 | 150.73 | 107.67 | 215.33
12.54 | 150.73 | 215.33 | 301.46
12.63 | 150.73 | 43.07 | 387.60
12.72 | 150.73 | 86.13 | 409.13
12.82 | 172.27 | 107.67 | 452.20
12.91 | 172.27 | 107.67 | 387.60
13.00 | 150.73 | 301.46 | 495.26
13.10 | 150.73 | 107.67 | 215.33
13.19 | 172.27 | 107.67 | 409.13
13.28 | 387.60 | 215.33 | 107.67
