Форманты для звука 'И' (файл iii.wav):
============================================================
Время (с) | Формант 1 (Гц) | Формант 2 (Гц) | Формант 3 (Гц)
------------------------------------------------------------
0.00 | N/A | N/A | N/A
0.09 | N/A | N/A | N/A
0.19 | 172.27 | 107.67 | 43.07
0.28 | 64.60 | 107.67 | 150.73
0.37 | 107.67 | 258.40 | 839.79
0.46 | 193.80 | 107.67 | 258.40
0.56 | 64.60 | 193.80 | 107.67
0.65 | 236.87 | 129.20 | 366.06
0.74 | 107.67 | 215.33 | 323.00
0.84 | 215.33 | 107.67 | 301.46
0.93 | 193.80 | 86.13 | 301.46
1.02 | 107.67 | 193.80 | 301.46
1.11 | 193.80 | 107.67 | 301.46
1.21 | 215.33 | 107.67 | 301.46
1.30 | 215.33 | 107.67 | 323.00
1.39 | 215.33 | 107.67 | 323.00
1.49 | 215.33 | 107.67 | 323.00
1.58 | 107.67 | 215.33 | 323.00
1.67 | 107.67 | 215.33 | 344.53
1.76 | 107.67 | 215.33 | 344.53
1.86 | 107.67 | 236.87 | 344.53
1.95 | 107.67 | 236.87 | 344.53
2.04 | 107.67 | 236.87 | 344.53
2.14 | 129.20 | 236.87 | 366.06
2.23 | 129.20 | 236.87 | 366.06
2.32 | 236.87 | 129.20 | 366.06
2.41 | 258.40 | 129.20 | 366.06
2.51 | 258.40 | 129.20 | 387.60
2.60 | 258.40 | 129.20 | 387.60
2.69 | 129.20 | 258.40 | 387.60
2.79 | 129.20 | 258.40 | 387.60
2.88 | 258.40 | 129.20 | 409.13
2.97 | 258.40 | 129.20 | 409.13
3.07 | 279.93 | 129.20 | 409.13
3.16 | 279.93 | 129.20 | 409.13
3.25 | 279.93 | 129.20 | 43.07
3.34 | 279.93 | 129.20 | 409.13
3.44 | 279.93 | 150.73 | 430.66
3.53 | 279.93 | 150.73 | 430.66
3.62 | 150.73 | 279.93 | 430.66
3.72 | 150.73 | 279.93 | 430.66
3.81 | 150.73 | 279.93 | 430.66
3.90 | 150.73 | 279.93 | 430.66
3.99 | 150.73 | 279.93 | 430.66
4.09 | 150.73 | 301.46 | 430.66
4.18 | 150.73 | 301.46 | 2217.92
4.27 | 150.73 | 301.46 | 452.20
4.37 | 150.73 | 301.46 | 452.20
4.46 | 150.73 | 301.46 | 452.20
4.55 | 150.73 | 301.46 | 452.20
4.64 | 150.73 | 301.46 | 452.20
4.74 | 150.73 | 301.46 | 452.20
4.83 | 150.73 | 301.46 | 2260.99
4.92 | 150.73 | 301.46 | 2260.99
5.02 | 150.73 | 301.46 | 452.20
5.11 | 150.73 | 301.46 | 452.20
5.20 | 150.73 | 301.46 | 452.20
5.29 | 150.73 | 301.46 | 452.20
5.39 | 150.73 | 301.46 | 473.73
5.48 | 150.73 | 323.00 | 473.73
5.57 | 150.73 | 323.00 | 473.73
5.67 | 172.27 | 323.00 | 495.26
5.76 | 193.80 | 366.06 | 2368.65
5.85 | 193.80 | 409.13 | 258.40
5.94 | 215.33 | 107.67 | 344.53
6.04 | 215.33 | 323.00 | 107.67
6.13 | 236.87 | 344.53 | 107.67
6.22 | 236.87 | 344.53 | 452.20
6.32 | 236.87 | 344.53 | 107.67
6.41 | 236.87 | 344.53 | 452.20
6.50 | 236.87 | 344.53 | 107.67
6.59 | 236.87 | 473.73 | 2411.72
6.69 | 236.87 | 473.73 | 107.67
6.78 | 258.40 | 495.26 | 107.67
6.87 | 258.40 | 387.60 | 129.20
6.97 | 258.40 | 516.80 | 2347.12
7.06 | 258.40 | 538.33 | 2347.12
7.15 | 279.93 | 64.60 | 559.86
7.24 | 279.93 | 86.13 | 43.07
7.34 | 301.46 | 602.93 | 2368.65
7.43 | 323.00 | 2304.05 | 667.53
7.52 | 323.00 | 2540.92 | 86.13
7.62 | 323.00 | 86.13 | 646.00
7.71 | 323.00 | 2304.05 | 646.00
7.80 | 323.00 | 2304.05 | 667.53
7.89 | 323.00 | 646.00 | 2282.52
7.99 | 344.53 | 689.06 | 107.67
8.08 | 344.53 | 43.07 | 2476.32
8.17 | 366.06 | 710.60 | 86.13
8.27 | 366.06 | 2540.92 | 732.13
8.36 | 387.60 | 753.66 | 43.07
8.45 | 387.60 | 64.60 | 775.20
8.54 | 409.13 | 796.73 | 2002.59
8.64 | 430.66 | 2110.25 | 64.60
8.73 | 430.66 | 64.60 | 2153.32
8.82 | 452.20 | 64.60 | 2196.39
8.92 | 452.20 | 86.13 | 904.39
9.01 | 452.20 | 3208.45 | 925.93
9.10 | 473.73 | 947.46 | 2368.65
9.20 | 473.73 | 2863.92 | 947.46
9.29 | 473.73 | 968.99 | 4328.17
9.38 | 473.73 | 4328.17 | 968.99
9.47 | 495.26 | 86.13 | 968.99
9.57 | 495.26 | 968.99 | 2906.98
9.66 | 473.73 | 968.99 | 1442.72
9.75 | 473.73 | 968.99 | 2885.45
9.85 | 473.73 | 43.07 | 968.99
9.94 | 473.73 | 107.67 | 968.99
10.03 | 473.73 | 2906.98 | 968.99
10.12 | 495.26 | 2928.52 | 968.99
10.22 | 473.73 | 2885.45 | 968.99
10.31 | 495.26 | 990.53 | 64.60
10.40 | 516.80 | 64.60 | 3057.71
10.50 | 538.33 | 1076.66 | 2670.12
10.59 | 559.86 | 107.67 | 43.07
10.68 | 559.86 | 1141.26 | 2842.38
10.77 | 581.40 | 1162.79 | 2906.98
10.87 | 581.40 | 64.60 | 1162.79
10.96 | 581.40 | 1162.79 | 2928.52
11.05 | 581.40 | 1184.33 | 2950.05
11.15 | 581.40 | 1162.79 | 2885.45
11.24 | 559.86 | 1119.73 | 2820.85
11.33 | 602.93 | 107.67 | 1205.86
11.42 | 646.00 | 64.60 | 1291.99
11.52 | 667.53 | 1313.53 | 86.13
11.61 | 646.00 | 1270.46 | 3832.91
11.70 | 624.46 | 1248.93 | 4414.31
11.80 | 624.46 | 1227.39 | 4306.64
11.89 | 624.46 | 1248.93 | 1873.39
11.98 | 624.46 | 1270.46 | 1894.92
12.07 | 667.53 | 1335.06 | 2002.59
12.17 | 667.53 | 1335.06 | 2002.59
12.26 | 624.46 | 1248.93 | 1873.39
12.35 | 624.46 | 1248.93 | 1873.39
12.45 | 624.46 | 1270.46 | 1894.92
12.54 | 624.46 | 1248.93 | 107.67
12.63 | 624.46 | 1248.93 | 86.13
12.72 | 64.60 | 150.73 | 624.46
12.82 | 64.60 | 624.46 | 1614.99
