Форманты для звука Имитация животного (файл gaf.wav):
============================================================
Время (с) | Формант 1 (Гц) | Формант 2 (Гц) | Формант 3 (Гц)
------------------------------------------------------------
0.00 | N/A | N/A | N/A
0.09 | 172.27 | 323.00 | 495.26
0.19 | 64.60 | 193.80 | 1098.19
0.28 | 107.67 | 150.73 | 279.93
0.37 | 129.20 | 387.60 | 1033.59
0.46 | 387.60 | 279.93 | 64.60
0.56 | 172.27 | 279.93 | 495.26
0.65 | 64.60 | 193.80 | 409.13
0.74 | 107.67 | 236.87 | 344.53
0.84 | 172.27 | 323.00 | 387.60
0.93 | 172.27 | 129.20 | 409.13
1.02 | 107.67 | 64.60 | 172.27
1.11 | 129.20 | 452.20 | 64.60
1.21 | 172.27 | 86.13 | 344.53
1.30 | 64.60 | 172.27 | 258.40
1.39 | 129.20 | 344.53 | 710.60
1.49 | 129.20 | 387.60 | 215.33
1.58 | 129.20 | 409.13 | 215.33
1.67 | 172.27 | 323.00 | 215.33
1.76 | 150.73 | 64.60 | 107.67
1.86 | 107.67 | 409.13 | 344.53
1.95 | 409.13 | 129.20 | 236.87
2.04 | 129.20 | 495.26 | 215.33
2.14 | 1614.99 | 430.66 | 559.86
2.23 | 1593.46 | 1291.99 | 1507.32
2.32 | 86.13 | 495.26 | 236.87
2.41 | 129.20 | 387.60 | 258.40
2.51 | 344.53 | 64.60 | 172.27
2.60 | 150.73 | 215.33 | 387.60
2.69 | 107.67 | 344.53 | 236.87
2.79 | 387.60 | 215.33 | 107.67
2.88 | 129.20 | 344.53 | 387.60
2.97 | 150.73 | 236.87 | 387.60
3.07 | 86.13 | 193.80 | 150.73
3.16 | 172.27 | 538.33 | 86.13
3.25 | 172.27 | 452.20 | 538.33
3.34 | 236.87 | 150.73 | 1141.26
3.44 | 172.27 | 86.13 | 581.40
3.53 | 129.20 | 495.26 | 279.93
3.62 | 129.20 | 172.27 | 409.13
3.72 | 172.27 | 129.20 | 1335.06
3.81 | 1378.12 | 1571.92 | 516.80
3.90 | 516.80 | 1378.12 | 1593.46
3.99 | 172.27 | 1550.39 | 430.66
4.09 | 150.73 | 258.40 | 409.13
4.18 | 172.27 | 344.53 | 516.80
4.27 | 172.27 | 64.60 | 559.86
4.37 | 172.27 | 129.20 | 473.73
4.46 | 172.27 | 129.20 | 452.20
4.55 | 172.27 | 129.20 | 538.33
4.64 | 172.27 | 64.60 | 301.46
4.74 | 193.80 | 64.60 | 129.20
4.83 | 150.73 | 301.46 | 409.13
4.92 | 64.60 | 323.00 | 150.73
5.02 | 150.73 | 236.87 | 387.60
5.11 | 129.20 | 215.33 | 344.53
5.20 | 323.00 | 215.33 | 366.06
5.29 | 1356.59 | 1485.79 | 602.93
5.39 | 129.20 | 1248.93 | 452.20
5.48 | 86.13 | 968.99 | 172.27
5.57 | 215.33 | 925.93 | 258.40
5.67 | 150.73 | 279.93 | 64.60
5.76 | 172.27 | 215.33 | 387.60
5.85 | 193.80 | 86.13 | 559.86
5.94 | 150.73 | 86.13 | 279.93
6.04 | 172.27 | 344.53 | 602.93
6.13 | 323.00 | 602.93 | 172.27
6.22 | 1614.99 | 581.40 | 1421.19
6.32 | 1507.32 | 559.86 | 1442.72
6.41 | 1421.19 | 1571.92 | 1485.79
6.50 | 107.67 | 64.60 | 236.87
6.59 | 150.73 | 86.13 | 43.07
6.69 | 172.27 | 366.06 | 279.93
6.78 | 172.27 | 301.46 | 581.40
6.87 | 150.73 | 64.60 | 215.33
6.97 | 129.20 | 366.06 | 172.27
7.06 | 150.73 | 279.93 | 430.66
7.15 | 172.27 | 43.07 | 559.86
7.24 | 64.60 | 150.73 | 279.93
7.34 | 172.27 | 689.06 | 581.40
7.43 | 301.46 | 129.20 | 387.60
7.52 | 1335.06 | 1442.72 | 172.27
7.62 | 1550.39 | 1442.72 | 1378.12
7.71 | 193.80 | 473.73 | 64.60
7.80 | 129.20 | 215.33 | 301.46
7.89 | 193.80 | 452.20 | 258.40
7.99 | 86.13 | 172.27 | 495.26
8.08 | 172.27 | 107.67 | 452.20
8.17 | 452.20 | 129.20 | 409.13
8.27 | 129.20 | 172.27 | 452.20
8.36 | 129.20 | 452.20 | 193.80
8.45 | 64.60 | 172.27 | 129.20
8.54 | 172.27 | 344.53 | 1205.86
8.64 | 193.80 | 64.60 | 452.20
8.73 | 107.67 | 193.80 | 452.20
8.82 | 172.27 | 452.20 | 129.20
8.92 | 387.60 | 1248.93 | 129.20
9.01 | 1270.46 | 193.80 | 1378.12
9.10 | 86.13 | 129.20 | 387.60
9.20 | 129.20 | 430.66 | 689.06
9.29 | 172.27 | 882.86 | 323.00
9.38 | 172.27 | 366.06 | 107.67
9.47 | 129.20 | 236.87 | 366.06
9.57 | 172.27 | 129.20 | 366.06
9.66 | 366.06 | 172.27 | 129.20
9.75 | 172.27 | 1356.59 | 107.67
9.85 | 172.27 | 1485.79 | 1593.46
9.94 | 64.60 | 172.27 | 366.06
10.03 | 172.27 | 344.53 | 64.60
10.12 | 172.27 | 236.87 | 581.40
10.22 | 64.60 | 215.33 | 452.20
10.31 | 64.60 | 452.20 | 409.13
10.40 | 172.27 | 129.20 | 452.20
10.50 | 129.20 | 172.27 | 387.60
10.59 | 64.60 | 279.93 | 172.27
