Character;Unicode;Filename;Weight_Q1;Weight_Q2;Weight_Q3;Weight_Q4;SpecificWeight_Q1;SpecificWeight_Q2;SpecificWeight_Q3;SpecificWeight_Q4;CoG_X;CoG_Y;NormCoG_X;NormCoG_Y;MomentOfInertia_X;MomentOfInertia_Y;NormMomentOfInertia_X;NormMomentOfInertia_Y
א;1488;1488.png;74;81;79;91;0.24342105263157895;0.26644736842105265;0.246875;0.284375;16.255384615384614;19.21846153846154;0.5079807692307692;0.4927810650887574;18511.489230769228;13399.803076923077;0.03744801341378492;0.040263831360946745
ב;1489;1489.png;49;89;51;98;0.18421052631578946;0.312280701754386;0.19172932330827067;0.34385964912280703;15.749128919860627;19.804878048780488;0.5430734110296768;0.521181001283697;26157.07317073171;7011.937282229965;0.06311608571508612;0.0290509360526914
ג;1490;1490.png;29;51;36;68;0.12719298245614036;0.2236842105263158;0.15789473684210525;0.2982456140350877;12.592391304347826;20.14673913043478;0.5246829710144928;0.5301773455377574;12789.03804347826;1726.429347826087;0.04813410078991878;0.016289528115810754
ד;1491;1491.png;61;96;0;53;0.21403508771929824;0.3157894736842105;0.0;0.17434210526315788;16.204761904761906;13.7;0.5227342549923195;0.36052631578947364;11118.1;4478.195238095238;0.03666435826408126;0.022190155285145622
ה;1492;1492.png;54;93;47;50;0.20300751879699247;0.3263157894736842;0.17669172932330826;0.17543859649122806;15.459016393442623;16.10655737704918;0.5330695308083663;0.4238567730802416;15379.22950819672;8110.590163934426;0.0436493276537076;0.039524522738028624
ו;1493;1493.png;22;46;0;51;0.1286549707602339;0.26900584795321636;0.0;0.2982456140350877;9.823529411764707;17.394957983193276;0.5457516339869282;0.4577620521892967;6432.436974789916;331.2941176470588;0.037433581873355506;0.008592543771321164
ז;1494;1494.png;53;34;46;20;0.2789473684210526;0.17894736842105263;0.23;0.1;8.81045751633987;17.69281045751634;0.4405228758169935;0.4536618066029831;9524.562091503269;765.5032679738563;0.04092836279667775;0.012508223332906148
ח;1495;1495.png;88;90;50;50;0.3087719298245614;0.3157894736842105;0.17543859649122806;0.17543859649122806;15.320143884892087;16.08273381294964;0.5106714628297362;0.4232298371828853;15317.097122302159;10066.507194244605;0.038156143810912334;0.040233841703615526
ט;1496;1496.png;57;74;81;73;0.2;0.2596491228070175;0.28421052631578947;0.256140350877193;15.428070175438597;19.912280701754387;0.5142690058479532;0.5240073868882733;18684.807017543862;9967.77543859649;0.045402165081265156;0.03886072295749119
י;1497;1497.png;21;33;10;27;0.15555555555555556;0.24444444444444444;0.07407407407407407;0.2;9.362637362637363;13.956043956043956;0.5201465201465202;0.4652014652014652;2205.824175824176;295.03296703296706;0.02693314011995331;0.010006544805079605
ך;1498;1498.png;46;101;0;70;0.15384615384615385;0.3136645962732919;0.0;0.21739130434782608;16.6036866359447;17.70967741935484;0.6149513568868408;0.3849929873772791;22670.709677419356;4107.917050691244;0.04937302291389579;0.025967754898707555
כ;1499;1499.png;43;83;41;74;0.17408906882591094;0.31203007518796994;0.1659919028340081;0.2781954887218045;14.688796680497925;18.684647302904565;0.5440295066851083;0.49170124481327804;19524.033195020747;4879.659751037345;0.05610289880294694;0.02777441815388183
ל;1500;1500.png;79;70;33;74;0.2532051282051282;0.20833333333333334;0.10576923076923077;0.22023809523809523;13.62890625;23.8359375;0.5047743055555556;0.49658203125;22529.109375;5639.74609375;0.03819632530212402;0.030219832892607598
